scenario,N,ta,L,rec_rate_mean,rec_rate_se,corr_s1_s2,se_corr,seed,Ne
SerialConstant,200,10000,1000,5.649620314980786e-07,6.271957494327717e-08,0.18473808189842328,0.0013252377728663858,24,10000
SerialConstant,200,10000,1000,8.318706157241888e-07,9.31986583873401e-08,0.18617350945003688,0.0013248724676698132,24,10000
SerialConstant,200,10000,1000,1.2171421406963464e-06,1.3513961496723336e-07,0.18778250372880664,0.0013243704115189628,24,10000
SerialConstant,200,10000,1000,1.7923630962937827e-06,2.008878238064781e-07,0.1829813706532527,0.0013254061479880323,24,10000
SerialConstant,200,10000,1000,2.6224451330601328e-06,2.910541302821619e-07,0.17779415042228233,0.0013271494921276604,24,10000
SerialConstant,200,10000,1000,3.861412029722259e-06,4.3273100123109305e-07,0.17128004418956722,0.0013283492159707401,24,10000
SerialConstant,200,10000,1000,5.649726595056286e-06,6.271483636843672e-07,0.16638474919621188,0.0013297336108633534,24,10000
SerialConstant,200,10000,1000,8.318390363426024e-06,9.318409643045702e-07,0.15402481611191174,0.0013324982292743008,24,10000
SerialConstant,200,10000,1000,1.2170926226431617e-05,1.3516817059221507e-06,0.14207044349645745,0.0013345379032660783,24,10000
SerialConstant,200,10000,1000,1.79207801014039e-05,2.0072462640204352e-06,0.12397146939475513,0.0013383178944990591,24,10000
SerialConstant,200,10000,1000,2.6220493028612216e-05,2.9126567254844665e-06,0.10612693882491918,0.0013404691761632504,24,10000
SerialConstant,200,10000,1000,3.861835719251561e-05,4.330394012774205e-06,0.08257259907539509,0.0013433334710488448,24,10000
SerialConstant,200,10000,1000,5.650193541237538e-05,6.269551084015188e-06,0.06784066969145465,0.0013457606655727689,24,10000
SerialConstant,200,10000,1000,8.319868596224722e-05,9.328535212333855e-06,0.04783392666369966,0.0013464841473690998,24,10000
SerialConstant,200,10000,2000,1.2170288925096028e-07,1.3519535365563459e-08,0.2548173050400022,0.0013035017376156644,24,10000
SerialConstant,200,10000,2000,1.7922059798466684e-07,2.0079132521357034e-08,0.25503055165660654,0.001303865526153738,24,10000
SerialConstant,200,10000,2000,2.622253582614466e-07,2.911534790412432e-08,0.25353076638378275,0.001304296468617002,24,10000
SerialConstant,200,10000,2000,3.861190649430913e-07,4.325853268470092e-08,0.25073462980696626,0.0013053784696647262,24,10000
SerialConstant,200,10000,2000,5.64946687751308e-07,6.272648041710878e-08,0.24934202226722504,0.0013057636951598211,24,10000
SerialConstant,200,10000,2000,8.318097373439187e-07,9.316206999465115e-08,0.2475862832555398,0.0013066952547090764,24,10000
SerialConstant,200,10000,2000,1.2170659018115993e-06,1.351781161067188e-07,0.24720510926671233,0.0013062777632697911,24,10000
SerialConstant,200,10000,2000,1.79215206161421e-06,2.0075730630441562e-07,0.2460790505602625,0.0013070870301353395,24,10000
SerialConstant,200,10000,2000,2.6221774114581194e-06,2.911863469936996e-07,0.23714445267037038,0.0013097893627617933,24,10000
SerialConstant,200,10000,2000,3.862078127283156e-06,4.33151310802581e-07,0.23576951520886227,0.0013097013627168493,24,10000
SerialConstant,200,10000,2000,5.650597085805488e-06,6.267189961741572e-07,0.22456593728809796,0.0013146534709566923,24,10000
SerialConstant,200,10000,2000,8.31830997583141e-06,9.317943624365659e-07,0.2104340367811166,0.0013184233956781333,24,10000
SerialConstant,200,10000,2000,1.2170835713691606e-05,1.3517311654960155e-06,0.20058233554594307,0.0013207834834962824,24,10000
SerialConstant,200,10000,2000,1.7920761385747843e-05,2.0072441745204958e-06,0.17738765270329757,0.0013273341293829556,24,10000
SerialConstant,200,10000,2000,2.622047868312396e-05,2.9126631183747434e-06,0.15458311559596274,0.0013318769035327842,24,10000
SerialConstant,200,10000,2000,3.86204774190615e-05,4.3317035350257805e-06,0.12276180634615039,0.0013375599906591457,24,10000
SerialConstant,200,10000,2000,5.6504686929656013e-05,6.268202875601945e-06,0.09291367494767053,0.001343215337627033,24,10000
SerialConstant,200,10000,2000,8.32039337334275e-05,9.331804590833021e-06,0.06841470731002006,0.001344658637966474,24,10000
SerialConstant,200,10000,500,1.217158071862347e-07,1.3513194891833899e-08,0.11849935782237662,0.0013389039430891086,24,10000
SerialConstant,200,10000,500,1.7922451283022034e-07,2.00812954888662e-08,0.1202196829115295,0.001338600733608771,24,10000
SerialConstant,200,10000,500,2.62230512865225e-07,2.911280476183746e-08,0.11807468021933219,0.00133899163407192,24,10000
