scenario,N,ta,L,rec_rate_mean,rec_rate_se,corr_s1_s2,se_corr,seed,Ne
SerialConstant,200,0,1000,0.0002500000092190986,3.2544674821266662e-09,0.021703174528486982,0.003161564427929075,42,10000
SerialConstant,200,0,1000,0.000259999987817668,3.262597439406318e-09,0.02031655922507885,0.0031616565745916257,42,10000
SerialConstant,200,0,1000,0.00026999999036506533,3.2574093370941147e-09,0.026243503348488104,0.003161220120708618,42,10000
SerialConstant,200,0,1000,0.00027999999219554324,3.270939117853868e-09,0.024830061353480013,0.0031613343007697,42,10000
SerialConstant,200,0,1000,0.0002900000038490798,3.2707760187280342e-09,0.02404631432711456,0.0031613948877078826,42,10000
SerialConstant,200,0,1000,0.000299999983186801,3.279028916500635e-09,0.024882283342373163,0.0031613301947010686,42,10000
SerialConstant,200,0,1000,0.00031000000549880025,3.278183246398303e-09,0.0329319424931376,0.0031605940357359186,42,10000
SerialConstant,200,0,1000,0.00032000001926780775,3.2804873719293084e-09,0.024188155254245263,0.003161384066898284,42,10000
SerialConstant,200,0,1000,0.0003300000110386477,3.2856919805858335e-09,0.021260091641287397,0.0031615945341922033,42,10000
SerialConstant,200,0,1000,0.0003399999879356325,3.290041803770758e-09,0.023807307298504523,0.0031614129771088406,42,10000
SerialConstant,200,0,1000,0.00034999999846396627,3.29523149272812e-09,0.023064344599507156,0.0031614680541936693,42,10000
SerialConstant,200,0,1000,0.00035999998543967,3.30497142801883e-09,0.016864664314796104,0.0031618595443332165,42,10000
SerialConstant,200,0,1000,0.0003700000178630755,3.3056657652440066e-09,0.022265047946254616,0.003161525356730693,42,10000
SerialConstant,200,0,1000,0.0003800000078476576,3.316063090515021e-09,0.020825910869753876,0.003161623432924782,42,10000
SerialConstant,200,0,1000,0.00038999999912092654,3.30138353402222e-09,0.01684097217416007,0.0031618608071573248,42,10000
SerialConstant,200,0,1000,0.00039999999461284223,3.3098092022277053e-09,0.020671943298777116,0.003161633537609165,42,10000
SerialConstant,200,0,1000,0.0004100000068015138,3.3129880610406203e-09,0.01703107247353075,0.00316185062450639,42,10000
SerialConstant,200,0,1000,0.0004200000084668604,3.3019630463281876e-09,0.01968889248643067,0.003161696285476296,42,10000
SerialConstant,200,0,1000,0.0004299999982509905,3.318211665333725e-09,0.013997565877248095,0.0031619994696881347,42,10000
SerialConstant,200,0,1000,0.0004399999991229332,3.3127495305194144e-09,0.020378821072981394,0.0031616525674804784,42,10000
SerialConstant,200,0,1000,0.0004500000124445811,3.31688256398132e-09,0.016112074010896545,0.003161898790725271,42,10000
SerialConstant,200,0,1000,0.000460000017967347,3.320540277285866e-09,0.009992103665212136,0.0031621514136224867,42,10000
SerialConstant,200,0,1000,0.0004700000117304737,3.3073268852065868e-09,0.01555047792084412,0.0031619269096549297,42,10000
SerialConstant,200,0,1000,0.00048000001589886346,3.3108020401847237e-09,0.013637773298163812,0.003162015192594154,42,10000
SerialConstant,200,0,1000,0.000489999984878301,3.3227802886604557e-09,0.018495719729871275,0.0031617683373544496,42,10000
SerialConstant,200,0,1000,0.0005000000014198195,3.317934536105303e-09,0.016139857570508693,0.0031618973737102974,42,10000
SerialConstant,200,0,1000,0.0005099999832384507,3.307173166692268e-09,0.009210067660774075,0.0031621751585849114,42,10000
SerialConstant,200,0,1000,0.0005199999827859836,3.3257207593259943e-09,0.0108324949694927,0.003162123740630398,42,10000
SerialConstant,200,0,1000,0.000529999998360234,3.3180693790368963e-09,0.0122125347044296,0.003162073451729294,42,10000
SerialConstant,200,0,1000,0.000539999980345978,3.3228977240421334e-09,0.012989772527083719,0.0031620424773158113,42,10000
SerialConstant,200,0,1000,0.0005500000040144987,3.3232883228664893e-09,0.005280295135293664,0.003162265198122464,42,10000
SerialConstant,200,0,1000,0.0005599999893951238,3.3235209118569335e-09,0.01695905437100112,0.003161854495580946,42,10000
SerialConstant,200,0,1000,0.000569999998169124,3.3177762458618728e-09,0.007331846012196294,0.0031622242857819566,42,10000
SerialConstant,200,0,1000,0.0005799999883106002,3.3231339741722965e-09,0.008166042435156172,0.003162203843551588,42,10000
SerialConstant,200,0,1000,0.0005899999974107385,3.309109460593251e-09,0.0091804378414145,0.003162176020204134,42,10000
SerialConstant,200,0,1000,0.0006000000163600139,3.3162030189466244e-09,0.006621092482058899,0.003162239966633711,42,10000
SerialConstant,200,0,1000,0.0006099999853599264,3.3277573937664592e-09,0.009077975444127561,0.003162178978352772,42,10000
SerialConstant,200,0,1000,0.0006200000228514714,3.3254208741513604e-09,0.00662959737484618,0.003162239788440476,42,10000
SerialConstant,200,0,1000,0.0006300000058994921,3.3157617109318497e-09,0.005691661440930135,0.0031622580614841297,42,10000
SerialConstant,200,0,1000,0.000639999991562636,3.324690373247094e-09,0.005257829317176222,0.003162265572462207,42,10000
SerialConstant,200,0,1000,0.0006500000052034209,3.3291743235039087e-09,0.008985354697155166,0.0031621816237942598,42,10000
SerialConstant,200,0,1000,0.000659999994428685,3.326023857525421e-09,0.0028419756016073994,0.0031622965126836987,42,10000
SerialConstant,200,0,1000,0.0006699999920810745,3.32226970469552e-09,0.008448617005551927,0.0031621964199636467,42,10000
SerialConstant,200,0,1000,0.0006800000121205009,3.319864663224604e-09,0.008452550954851415,0.0031621963148315488,42,10000
SerialConstant,200,0,1000,0.0006900000031441516,3.3275993183598603e-09,0.0035113326706795907,0.0031622897885808785,42,10000
SerialConstant,200,0,1000,0.0007000000128092281,3.320197254391958e-09,0.012069657239617818,0.003162078937756829,42,10000
SerialConstant,200,0,1000,0.00071000001376002,3.3345469203771614e-09,0.006857713641534577,0.0031622349236308097,42,10000
SerialConstant,200,0,1000,0.0007200000081798174,3.3369499108017725e-09,0.004947220501271779,0.0031622705844374073,42,10000
SerialConstant,200,0,1000,0.0007300000066329271,3.3441201050490843e-09,0.009993890050228294,0.0031621513571682097,42,10000
SerialConstant,200,0,1000,0.0007400000036657377,3.3398221667395478e-09,0.0011943522077392456,0.003162307027937486,42,10000
SerialConstant,200,0,1000,0.0007499999937503061,3.3255061922468635e-09,0.009119242190614607,0.003162177790951407,42,10000
