scenario,Ne,scale_marginal,se_scale_marginal,se_scale_marginal_fd,scale_jt,eps_jt,se_scale_jt,se_eps_jt,n_panel,n_snps,ta,min_maf,seed
SerialConstant,20000,2530.3303417315706,9.009232352746652,8.99655533582449,1000.870016377273,0.008166366494818491,121.0336552993096,5.748414228893981e-05,100.0,199066.0,420.0,1,1
SerialConstant,20000,2334.015573825909,8.50712638375214,8.52693861892401,1000.7529435051226,0.007929941584317042,108.3820146973683,0.00010119461497163071,100.0,199066.0,440.0,1,1
SerialConstant,20000,2536.8167767236437,8.948765240286082,8.933619504359417,1000.8396847216817,0.007969859761925479,120.09687721135668,0.00010388718046701993,100.0,199066.0,460.0,1,1
SerialConstant,20000,2339.096416686796,8.590368506068787,8.609804866345591,1000.7457770419595,0.007779239873941712,109.73628214327202,0.00011592648083505426,100.0,199066.0,480.0,1,1
SerialConstant,20000,2365.927171821957,8.594188277884362,8.611291255465614,1000.7709413730136,0.007983649215967628,110.11394755572452,7.996812877067898e-05,100.0,199066.0,500.0,1,1
SerialConstant,20000,1425.1392197177654,6.521707611196846,6.487377503105143,1000.1587487944043,0.004726317476194477,42.59245773005533,3.434809046198442e-05,100.0,199066.0,20.0,5,1
SerialConstant,20000,1257.1580918149757,6.068907137264916,6.077972085317204,1000.097637504253,0.0041747133399679705,30.76246367227269,3.508093655600858e-05,100.0,199066.0,40.0,5,1
SerialConstant,20000,1131.6979089732397,5.691320351214974,5.707963736872068,1000.0508262226749,0.0034786724827619193,20.526857024727803,2.7631995664229792e-05,100.0,199066.0,60.0,5,1
SerialConstant,20000,1396.9561267461663,6.485220484171178,6.45522948000398,1000.1914499697904,0.005472461218428459,42.799066554214924,3.646015175162132e-05,100.0,199066.0,80.0,5,1
SerialConstant,20000,1302.845258757577,6.185797088916262,6.181666416902855,1000.1081667653832,0.004269133667574656,33.09326130352523,3.679307832821682e-05,100.0,199066.0,100.0,5,1
SerialConstant,20000,1590.8121688740305,6.887760313992438,6.894883112935009,1000.2622569404546,0.005607597816606442,56.86224434075655,4.683731088052053e-05,100.0,199066.0,120.0,5,1
SerialConstant,20000,1764.075872231988,7.245114468414105,7.258658578690615,1000.3780597033909,0.006600541085737988,67.46909113498124,4.812085622988376e-05,100.0,199066.0,140.0,5,1
SerialConstant,20000,1731.314601225676,7.210405409913675,7.227015330288571,1000.3027634102062,0.005604258885421809,65.67418282972827,6.862476096985776e-05,100.0,199066.0,160.0,5,1
SerialConstant,20000,1539.590914095578,6.773598660275659,6.765210326157418,1000.2057669264836,0.005020679657031132,51.150224718769856,4.391626431771132e-05,100.0,199066.0,180.0,5,1
SerialConstant,20000,1673.0568980896724,7.054987529660341,7.071038832786118,1000.2801669999005,0.005701587217659205,59.55050294153967,4.7342475112251464e-05,100.0,199066.0,200.0,5,1
