scenario,Ne,scale_marginal,se_scale_marginal,se_scale_marginal_fd,scale_jt,eps_jt,se_scale_jt,se_eps_jt,n_panel,n_snps,ta,min_maf,seed
SerialConstant,20000,1356.2213563581336,6.316886221630663,6.2968696453454935,1357.0019909906134,0.0022844708331260046,80.42988274612601,0.0008913562150997135,100.0,199066.0,20.0,5,1
SerialConstant,20000,1186.0198487865318,5.867581507936061,5.887726224754545,1186.3488857324992,0.0020390201295684795,41.07617052922816,0.006219553066319716,100.0,199066.0,40.0,5,1
SerialConstant,20000,1079.873188925372,5.553590894061249,5.556671546355172,1080.1859953619025,0.001852513281808926,38.35827948229325,0.001203578318386833,100.0,199066.0,60.0,5,1
SerialConstant,20000,1311.127589069842,6.234848889674382,6.2279543081591315,1311.1275890765485,0.002654706141475924,1.0000000006599006,1.3406783920283425e-05,100.0,199066.0,80.0,5,1
SerialConstant,20000,1235.7715636664318,5.990785191613308,6.0045375837224055,1235.3083425612972,0.002078353950649844,58.48015587899447,0.00010289439357854446,100.0,199066.0,100.0,5,1
SerialConstant,20000,1506.7185578775343,6.7164615794421865,6.695506918669841,1507.086570660056,0.0029434908231573383,46.99694749134062,0.0006983699961831693,100.0,199066.0,120.0,5,1
SerialConstant,20000,1678.5252484525251,7.05322272225744,7.069360162902654,1677.9137960206597,0.0031347027855772682,83.33883488674314,0.0011051189910080668,100.0,199066.0,140.0,5,1
SerialConstant,20000,1638.1250661191161,6.982440492684169,6.996516425652455,1637.754698620027,0.002906982600228413,46.84003018027286,0.00025066190488942305,100.0,199066.0,160.0,5,1
SerialConstant,20000,1461.5904934658208,6.613661244502443,6.579772102170288,1462.259533438134,0.002414012761483562,71.48225681675957,0.0012254430958222394,100.0,199066.0,180.0,5,1
SerialConstant,20000,1591.3671784008936,6.880297875758293,6.8868096293114975,1590.5887414677454,0.002735379444118515,93.6317630515599,0.009699017280131129,100.0,199066.0,200.0,5,1
