scenario,ta,seed,rec_rate,corr_piApiB,se_corr_piApiB,nreps
Two-Locus Tennessen,233,42,0.0005336699231206312,0.008506875306285418,0.014144453076582315,5000
Two-Locus Tennessen,233,42,0.0005590810182512223,0.003854289688672713,0.014144859833666958,5000
Two-Locus Tennessen,233,42,0.0005857020818056667,0.005192138116694529,0.014144774236290718,5000
Two-Locus Tennessen,233,42,0.0006135907273413176,0.015648771330065432,0.01414323285551836,5000
Two-Locus Tennessen,233,42,0.0006428073117284319,0.016272931289670323,0.014143091923660568,5000
Two-Locus Tennessen,233,42,0.0006734150657750821,0.023430978436581974,0.014141081497688592,5000
Two-Locus Tennessen,233,42,0.0007054802310718645,0.030386742372053403,0.01413843298574916,5000
Two-Locus Tennessen,233,42,0.0007390722033525775,0.014738302113006745,0.014143428548927328,5000
Two-Locus Tennessen,233,42,0.000774263682681127,0.012733221576698211,0.014143818156724015,5000
Two-Locus Tennessen,233,42,0.0008111308307896872,0.025438061403736473,0.014140387591254218,5000
Two-Locus Tennessen,233,42,0.0008497534359086447,0.01862426691069456,0.014142511502171157,5000
Two-Locus Tennessen,233,42,0.0008902150854450393,0.021704395268974327,0.014141632796691625,5000
Two-Locus Tennessen,233,42,0.0009326033468832199,0.0036953929945827057,0.01414486831801614,5000
Two-Locus Tennessen,233,42,0.0009770099572992256,0.019072611847483812,0.01414239194745575,5000
Two-Locus Tennessen,233,42,0.001023531021899027,0.020893268029708728,0.014141877221456366,5000
Two-Locus Tennessen,233,42,0.0010722672220103231,0.015767441655316725,0.014143206484832154,5000
Two-Locus Tennessen,233,42,0.0011233240329780276,0.014739753790516253,0.01414342824624432,5000
Two-Locus Tennessen,233,42,0.0011768119524349992,0.028722551637006575,0.014139129004047214,5000
Two-Locus Tennessen,233,42,0.0012328467394420659,-0.013827506401182741,0.014143612576850182,5000
Two-Locus Tennessen,233,42,0.001291549665014884,0.010485876352821114,0.014144187233362674,5000
Two-Locus Tennessen,233,42,0.0013530477745798076,-0.005911980659970187,0.014144717703528063,5000
Two-Locus Tennessen,233,42,0.0014174741629268048,0.02232855902353955,0.014141438371045121,5000
Two-Locus Tennessen,233,42,0.001484968262254465,0.005782230295048711,0.014144728434988168,5000
Two-Locus Tennessen,233,42,0.0015556761439304723,-0.023050424214698068,0.014141206634468502,5000
Two-Locus Tennessen,233,42,0.0016297508346206436,-0.005312756430512664,0.01414476527474716,5000
Two-Locus Tennessen,233,42,0.0017073526474706922,0.004206109194742597,0.01414483977731875,5000
Two-Locus Tennessen,233,42,0.001788649529057435,-0.010559526281166224,0.014144176270461686,5000
