scenario,ta,seed,rec_rate,corr_piApiB,se_corr_piApiB
Two-Locus Theory,1.0,42,32.745491628777316,0.0011280372123222424,0.0316544267520049
Two-Locus Theory,1.0,42,37.649358067924716,0.04231741908390151,0.03162609137014536
Two-Locus Theory,1.0,42,43.287612810830616,0.047656726164528436,0.031618480245536054
Two-Locus Theory,1.0,42,49.770235643321136,0.028890968855923304,0.03164123333899916
Two-Locus Theory,1.0,42,57.223676593502205,0.04145923142217023,0.031627230285324145
Two-Locus Theory,1.0,42,65.79332246575683,0.019226688727072797,0.03164859557142907
Two-Locus Theory,1.0,42,75.64633275546291,0.014556896680515418,0.03165109287401102
Two-Locus Theory,1.0,42,86.97490026177834,0.01379897717772611,0.03165143305852304
Two-Locus Theory,1.0,42,100.0,-0.00030322413064051246,0.03165444543641383
Two-Locus Theory,1.0,42,0.0001,0.5623901484993588,0.002614825033325899
Two-Locus Theory,1.0,42,0.00011497569953977356,0.5623446381717754,0.0026149229119863675
Two-Locus Theory,1.0,42,0.00013219411484660288,0.5623302351193861,0.002614953886090974
Two-Locus Theory,1.0,42,0.0001519911082952933,0.5622422889725214,0.0026151429911893316
Two-Locus Theory,1.0,42,0.0001747528400007683,0.5623864518597969,0.0026148329840883105
Two-Locus Theory,1.0,42,0.00020092330025650479,0.562210931949348,0.002615210405775372
Two-Locus Theory,1.0,42,0.00023101297000831605,0.5625660111439976,0.0026144466981918124
Two-Locus Theory,1.0,42,0.00026560877829466864,0.5623635789083274,0.0026148821777185758
Two-Locus Theory,1.0,42,0.0003053855508833416,0.5620040192764527,0.002615655110331683
Two-Locus Theory,1.0,42,0.0003511191734215131,0.5623230815057919,0.0026149692696748714
Two-Locus Theory,1.0,42,0.0004037017258596554,0.562133537474587,0.002615376772928971
Two-Locus Theory,1.0,42,0.0004641588833612782,0.5613524711478652,0.0026170538799921692
Two-Locus Theory,1.0,42,0.0005336699231206312,0.561347509301362,0.0026170645231911923
Two-Locus Theory,1.0,42,0.0006135907273413176,0.560927841692125,0.0026179642165008524
Two-Locus Theory,1.0,42,0.0007054802310718645,0.5607731792386065,0.0026182955379209457
Two-Locus Theory,1.0,42,0.0008111308307896872,0.5615490829553267,0.0026166320355725426
Two-Locus Theory,1.0,42,0.0009326033468832199,0.561937167786835,0.0026157987389434146
Two-Locus Theory,1.0,42,0.0010722672220103231,0.5612291681129962,0.0026173183252512972
Two-Locus Theory,1.0,42,0.0012328467394420659,0.5605685784178712,0.0026187336336906345
Two-Locus Theory,1.0,42,0.0014174741629268048,0.5608548661937851,0.00261812056287963
Two-Locus Theory,1.0,42,0.0016297508346206436,0.5600427395140084,0.0026198585023523486
Two-Locus Theory,1.0,42,0.001873817422860383,0.5598495104774268,0.002620271469262929
Two-Locus Theory,1.0,42,0.0021544346900318843,0.5592444886868781,0.002621563173109306
Two-Locus Theory,1.0,42,0.0024770763559917113,0.5568775297402442,0.0026265970663478275
Two-Locus Theory,1.0,42,0.002848035868435802,0.5571278650416152,0.0026260661348124132
Two-Locus Theory,1.0,42,0.0032745491628777285,0.557157778170337,0.0026260026694661484
Two-Locus Theory,1.0,42,0.0037649358067924675,0.5566997175605313,0.002626973974847398
Two-Locus Theory,1.0,42,0.004328761281083062,0.5576040293337611,0.002625055291420202
Two-Locus Theory,1.0,42,0.004977023564332114,0.5529542013816059,0.0026348729310635764
Two-Locus Theory,1.0,42,0.00572236765935022,0.5529396522156618,0.002634903463962488
Two-Locus Theory,1.0,42,0.006579332246575682,0.5531756915988428,0.002634407968471912
Two-Locus Theory,1.0,42,0.007564633275546291,0.5502984956149406,0.0026404270666581984
Two-Locus Theory,1.0,42,0.008697490026177835,0.5448153822318811,0.0026517734878544795
Two-Locus Theory,1.0,42,0.01,0.5428341873628338,0.002655833488630585
Two-Locus Theory,1.0,42,0.011497569953977356,0.5401186347325635,0.0026613643608779957
Two-Locus Theory,1.0,42,0.013219411484660288,0.5393187140144573,0.0026629861203242237
Two-Locus Theory,1.0,42,0.01519911082952933,0.537947727853054,0.002665757780869877
Two-Locus Theory,1.0,42,0.01747528400007685,0.5341285397778744,0.0026734266352655047
Two-Locus Theory,1.0,42,0.02009233002565048,0.5287884454641607,0.0026840215868866517
Two-Locus Theory,1.0,42,0.023101297000831605,0.5209956193749181,0.00269921865760236
Two-Locus Theory,1.0,42,0.026560877829466867,0.517885097045729,0.0027051980749127867
Two-Locus Theory,1.0,42,0.030538555088334154,0.5103962721523472,0.0027193941155737224
Two-Locus Theory,1.0,42,0.03511191734215131,0.49991121736899835,0.002738802250663933
Two-Locus Theory,1.0,42,0.040370172585965536,0.4959476950620513,0.002745998843375456
Two-Locus Theory,1.0,42,0.04641588833612782,0.4893128092731404,0.0027578763323342767
Two-Locus Theory,1.0,42,0.05336699231206313,0.47436090288987076,0.0027838772130864206
Two-Locus Theory,1.0,42,0.061359072734131756,0.47146874132161065,0.0027887860810973442
Two-Locus Theory,1.0,42,0.07054802310718646,0.4477632246587776,0.002827585692998314
Two-Locus Theory,1.0,42,0.08111308307896872,0.4327956639159204,0.0028507966735264114
Two-Locus Theory,1.0,42,0.093260334688322,0.4279126918214581,0.002858158614072075
Two-Locus Theory,1.0,42,0.10722672220103231,0.406438722582404,0.0028893325548832367
Two-Locus Theory,1.0,42,0.12328467394420659,0.3897702761839338,0.00291220894464215
Two-Locus Theory,1.0,42,0.14174741629268048,0.3777190382579123,0.002928046234346409
Two-Locus Theory,1.0,42,0.16297508346206452,0.359420880610897,0.0029509897445803373
Two-Locus Theory,1.0,42,0.1873817422860385,0.33329719930700974,0.002981494181696846
Two-Locus Theory,1.0,42,0.21544346900318845,0.3175207717304435,0.0029986639416422997
Two-Locus Theory,1.0,42,0.24770763559917114,0.2946983087029107,0.0030218722181307557
Two-Locus Theory,1.0,42,0.2848035868435802,0.2689662540636397,0.003045776925004731
Two-Locus Theory,1.0,42,0.32745491628777285,0.24807391540470353,0.0030634589960660827
Two-Locus Theory,1.0,42,0.37649358067924676,0.22083037919064877,0.0030842389153337133
Two-Locus Theory,1.0,42,0.43287612810830617,0.2048197779392718,0.003095267387359783
Two-Locus Theory,1.0,42,0.49770235643321137,0.17865078393321046,0.003111435777041266
Two-Locus Theory,1.0,42,0.572236765935022,0.16499315002335102,0.0031189689263917005
Two-Locus Theory,1.0,42,0.6579332246575682,0.14355538282317332,0.003129554984804226
Two-Locus Theory,1.0,42,0.7564633275546291,0.12156398579121727,0.0031388563238807167
Two-Locus Theory,1.0,42,0.8697490026177834,0.10591222564028256,0.003144522819932226
Two-Locus Theory,1.0,42,1.0,0.09128865938818256,0.0031491049750546523
Two-Locus Theory,1.0,42,1.1497569953977356,0.0752071231663089,0.0031533534148594344
