scenario,ta,rec_rate,corr_bl,cov_bl,exp_bl,Ne,Ne_est,Nreps,seed
DivergenceMigration1,1500.0,3.14,-0.007945533158466623,1609647604.2683742,41873.65451106236,10000,10468.41362776559,20000,42
DivergenceMigration1,1500.0,3.21,0.007748850040661644,1587946010.5580752,41413.55362747172,10000,10353.38840686793,20000,42
DivergenceMigration1,1500.0,3.28,0.009271044138988254,1605648776.740773,41864.41121021235,10000,10466.102802553087,20000,42
DivergenceMigration1,1500.0,3.34,0.0291779599824923,1649621148.6815257,41886.299189582125,10000,10471.574797395531,20000,42
DivergenceMigration1,1500.0,3.41,0.0076771979477293145,1650716652.1646636,41897.227123517274,10000,10474.306780879318,20000,42
DivergenceMigration1,1500.0,3.48,0.011304276020378265,1578051308.1811037,41556.13699123693,10000,10389.034247809232,20000,42
DivergenceMigration1,1500.0,3.55,0.023854472260875885,1678994711.551342,42363.18259819206,10000,10590.795649548016,20000,42
DivergenceMigration1,1500.0,3.62,0.024939631211629103,1613850678.9616215,41668.48093518248,10000,10417.12023379562,20000,42
DivergenceMigration1,1500.0,3.69,0.047854154934030585,1622367823.3354511,41794.505249663125,10000,10448.626312415781,20000,42
DivergenceMigration1,1500.0,3.76,0.06108259100864674,1570245868.1654253,41168.52664718672,10000,10292.13166179668,20000,42
DivergenceMigration1,1500.0,3.83,0.06429281405383692,1622235260.664058,42004.32964078319,10000,10501.082410195797,20000,42
DivergenceMigration1,1500.0,3.9,0.08546444007626558,1584477697.7919827,41276.45172720588,10000,10319.11293180147,20000,42
DivergenceMigration1,1500.0,3.97,0.10222242031540016,1592839878.1190755,41673.64761966894,10000,10418.411904917235,20000,42
DivergenceMigration1,1500.0,4.03,0.12140351936836606,1584247959.8699918,41486.21175059559,10000,10371.552937648898,20000,42
DivergenceMigration1,1500.0,4.1,0.14025650731602562,1555353577.5249991,41364.81794852667,10000,10341.204487131667,20000,42
DivergenceMigration1,1500.0,4.17,0.17635332324069844,1608567654.460384,41607.796447584304,10000,10401.949111896076,20000,42
DivergenceMigration1,1500.0,4.24,0.2093332331974071,1594180844.3713646,41044.5557768247,10000,10261.138944206175,20000,42
DivergenceMigration1,1500.0,4.31,0.23266448565636558,1617671782.3434272,41868.929163193236,10000,10467.232290798309,20000,42
DivergenceMigration1,1500.0,4.38,0.27584810195233406,1614954370.104188,42153.480046783865,10000,10538.370011695966,20000,42
DivergenceMigration1,1500.0,4.45,0.3018552077797352,1607798647.8408952,41487.07688201717,10000,10371.769220504293,20000,42
