scenario,ta,rec_rate,corr_bl,cov_bl,exp_bl,Ne,Ne_est,Nreps,seed
Tennessen,233.0,4.17,0.3415197622234545,1019518432.1421345,27516.50513503372,10000.0,6879.12628375843,20000,42
Tennessen,233.0,4.24,0.39028887824556485,999872024.7624732,27653.84075513838,10000.0,6913.460188784595,20000,42
Tennessen,233.0,4.31,0.4056751244291624,1020170801.9851207,27496.658423704575,10000.0,6874.164605926144,20000,42
Tennessen,233.0,4.38,0.4580642096059204,1029627145.7398984,27737.344767462957,10000.0,6934.336191865739,20000,42
Tennessen,233.0,4.45,0.49813994570777087,995200151.7119893,27298.703209925567,10000.0,6824.675802481392,20000,42
Tennessen,233.0,4.52,0.5199062424049368,1014101770.597087,27503.407227004463,10000.0,6875.851806751116,20000,42
Tennessen,233.0,4.59,0.5693352467661965,1004890703.3776894,27678.060768615866,10000.0,6919.515192153966,20000,42
Tennessen,233.0,4.66,0.6137090051240107,1013230500.4303412,27680.71460687753,10000.0,6920.178651719382,20000,42
Tennessen,233.0,4.72,0.636735960300148,996396472.0133172,27824.960474703603,10000.0,6956.240118675901,20000,42
Tennessen,233.0,4.79,0.6681503902515353,985812681.4138769,27533.904347406435,10000.0,6883.476086851609,20000,42
Tennessen,233.0,4.86,0.6889619933232496,1018045533.1122975,27705.796035359042,10000.0,6926.449008839761,20000,42
Tennessen,233.0,4.93,0.7266909637888448,1024559529.9886887,27773.549524383045,10000.0,6943.387381095761,20000,42
Tennessen,233.0,5.0,0.7667406235473856,985379675.5585235,27411.447444956535,10000.0,6852.861861239134,20000,42
Tennessen,1500.0,3.0,0.009673973013654752,1021088664.8703741,33821.22250734914,10000.0,8455.305626837286,20000,42
Tennessen,1500.0,3.07,0.014825148837820143,1047862077.2480006,34011.31476731234,10000.0,8502.828691828085,20000,42
Tennessen,1500.0,3.14,0.02588545958725041,1000896520.961164,33999.262850829415,10000.0,8499.815712707354,20000,42
Tennessen,1500.0,3.21,0.04317958248646694,1041887485.6044241,34057.34683164649,10000.0,8514.336707911623,20000,42
Tennessen,1500.0,3.28,0.045561335145889795,1026433897.5398197,34169.58492536017,10000.0,8542.396231340043,20000,42
Tennessen,1500.0,3.34,0.03773988271805184,1043162204.6228424,34424.94909563245,10000.0,8606.237273908113,20000,42
Tennessen,1500.0,3.41,0.0493835817156554,1057022763.2306757,34461.978438835264,10000.0,8615.494609708816,20000,42
Tennessen,1500.0,3.48,0.06721487285449301,1062071327.3613195,34360.372043227246,10000.0,8590.093010806811,20000,42
Tennessen,1500.0,3.55,0.0698349335775457,1035344012.8939999,34168.51991636767,10000.0,8542.129979091918,20000,42
Tennessen,1500.0,3.62,0.08904310382900038,1038112075.4542676,34174.03633515232,10000.0,8543.50908378808,20000,42
Tennessen,1500.0,3.69,0.10534992705673585,1037559373.6025485,34100.50331907032,10000.0,8525.12582976758,20000,42
Tennessen,1500.0,3.76,0.11871838300921142,1045814613.054516,34226.35263213525,10000.0,8556.588158033812,20000,42
Tennessen,1500.0,3.83,0.1350186513143789,1037193864.0071927,34150.674393148154,10000.0,8537.668598287039,20000,42
Tennessen,1500.0,3.9,0.16371410197649375,1054177504.6246326,34029.582417186415,10000.0,8507.395604296604,20000,42
