scales_true,scales_marg_hat,scales_jt_hat,eps_jt_hat,se_scales_jt_hat,se_eps_jt_hat
800,800.0970501410894,467.77128290670703,0.5,1.9633099914717826,0.0048258851942868785
900,857.9726664375985,504.5433419442449,0.5,1.0,1.0
100,123.09814025942958,106.3130651404403,0.5,1.3325892407941997,0.00014591644919664134
200,231.33286056305255,187.5795555485316,0.5,1.7730706756244228,0.0003576107500658823
300,293.3933652021055,228.40331851817317,0.5,2.433762443861616,0.0006393879685361965
400,417.14571279612557,282.4631634740036,0.5,2.499989061334219,0.001640678456707246
500,484.1918460516265,307.77947488429,0.5,2.675206813090984,0.00210160392246058
600,594.16762727394,393.9693977691937,0.5,3.4301365827137484,0.002875223137612792
700,692.7760739238003,470.58390118827987,0.5,2.9323567984906855,0.003939853713593968
800,770.230368476283,445.2505092484067,0.5,4.695422004738178,0.004570081410161854
900,887.1561513230959,536.3166319525507,0.5,12.923612345997766,0.005802917350591458
100,89.33631780954303,77.55293509787808,0.5,1.4177096325910832,0.00014260397891944072
200,216.80628095603706,181.6503032964163,0.5,2.0345967505411755,0.00029867533664365526
300,308.03796547763324,228.0647965449184,0.5,2.0338875254787374,0.0007698294982545953
400,418.1669804816149,311.07256026370294,0.5,4.6031289040933,0.001517484679789991
500,510.4478123071969,337.43731170996125,0.5,1.0,1.0
600,590.0149009050509,366.0027081294125,0.5,3.7545866203648153,0.002828587872974508
700,774.1924490107498,521.3535388759824,0.5,4.960531738273421,0.00474393406477174
800,790.6226451676722,486.2764982095002,0.5,4.564351179095904,0.004874194894055471
900,861.5816960446218,482.30473981169285,0.5,15.268036588691231,0.005388100640572064
100,95.735884115915,85.07273116555345,0.5,1.2942572469587923,0.00014188764632423094
200,202.30627261723626,175.78929279587038,0.5,2.0467662884316535,0.00025795737019535946
300,299.06812799163714,224.9147136611165,0.5,1.0,1.0
400,398.265291212345,303.66769707482626,0.5,3.3703696685882876,0.0012509228424306435
500,535.553657258346,348.61959123335134,0.5,5.39948443106221,0.0024511529332588104
600,581.7839540359238,371.9593661963796,0.5,3.081196203532592,0.002752908563317429
700,742.821140800723,459.7817303758036,0.5,4.957020931408649,0.00447137172644935
800,850.206095544209,466.09436876247565,0.5,1.0,1.0
900,908.6208791117082,552.4903697186537,0.5,5.516850511783515,0.005533780179217913
100,95.85580147751254,88.2033420338275,0.5,1.4765660788539283,0.00014106787372169627
200,237.7129171149895,189.71255989309296,0.5,2.0984478282382746,0.0003714253507803611
300,336.67072390342855,255.68856408804234,0.5,2.5660637913994844,0.0009444916524077809
400,416.3209853673348,259.9193435944142,0.5,2.7864747373545087,0.001560807165774418
500,602.7368971638871,379.3430327602436,0.5,7.597487475163683,0.0030965696039795183
600,623.7294988178212,392.5537090133242,0.5,3.597686060919033,0.0032778944711049653
700,783.0397041862662,406.11683061268735,0.5,9.7659768242165,0.0047777944360394
800,776.4251186931466,472.0457847278902,0.5,1.0,1.0
900,937.5445861186731,522.4704347332975,0.5,4.589598926848436,0.006620114568259795
100,84.66675966473207,74.34143469413713,0.5,1.1795134358145727,0.00013985822731061887
200,203.90592827299545,169.48813811573834,0.5,1.0,1.0
300,327.0384893096504,217.26211228446707,0.5,2.2820643493195276,0.0009626896739961777
400,408.7718689749757,269.5530731110168,0.5,2.7965191778319984,0.0015393608464963533
500,564.3696043196388,345.1477079935707,0.5,3.284716369348556,0.0029420454187552504
600,574.0421880895159,354.06124479762974,0.5,3.817464589868308,0.00279456459443956
700,718.0312377133374,461.36813410249044,0.5,4.830731590784719,0.004202247677710455
800,780.9619509868295,501.7265408865375,0.5,2.8256240074492087,0.004488773246912866
900,916.0049751939841,545.6654147584564,0.5,4.63504411800582,0.005852380434699164
100,88.05307166937574,78.98005083968668,0.5,1.1874369059454593,0.00013948407663803969
200,200.23617090543127,172.25066627147453,0.5,1.9575279030540382,0.00023830454904068382
300,338.5285448090042,234.91482703507887,0.5,2.4443049019352268,0.0009600330450584904
400,438.3063433881874,295.20880214115294,0.5,2.025344835954869,0.0016212170036373193
500,556.585947719927,395.6507265215655,0.5,3.1831041406573775,0.002684224168101843
600,646.9180667212214,423.1097997180026,0.5,1.0,1.0
700,710.2000621680387,433.54405754192885,0.5,3.779676916006167,0.003965020425258824
800,831.6313288384483,468.18213898378093,0.5,8.934028250023049,0.004842376652642465
900,852.6671319400176,556.0397532251559,0.5,4.990888183897934,0.004842132331808244
100,105.81510172426853,89.73235036148095,0.5,1.2774221893267488,0.0001415755916502322
200,209.74090210381357,177.37552451974696,0.5,1.971390323676086,0.00027780087538054006
300,293.93751340271706,201.25162111889213,0.5,2.908790418471684,0.0007599595738296285
400,413.949967845402,287.8197337060425,0.5,3.1494558942568593,0.0014311655348639546
500,495.3612805657212,327.102850218151,0.5,5.555258662922698,0.0022311046255737905
600,638.6248092128005,433.42827946474796,0.5,3.7345239600572167,0.0032694233178151943
700,785.7794285458807,514.4602775207456,0.5,4.939900244089769,0.004657155503512251
800,774.9899426677327,496.98141189459994,0.5,6.968454569742035,0.0045398914511351925
900,925.1625064416519,527.7616170927021,0.5,3.0699938241818776,0.0057862868167151095
100,110.44883193179743,89.70490091195343,0.5,1.4869859871871356,0.00014089373483550563
200,192.2645585698596,158.09629812874536,0.5,2.213739090514085,0.000222398152437301
300,300.02828952137594,226.1647030015933,0.5,2.243130072471931,0.0007721289363351527
400,418.8908272471974,297.1212021751194,0.5,2.6843657965944874,0.001457619901142297
500,510.7117668179374,346.5478080068588,0.5,3.3800172145533884,0.002104351171562939
600,625.8817124449429,422.7863225986,0.5,5.354330086372119,0.0030058412262852006
700,725.1697814241141,470.3768707832448,0.5,5.735373316702558,0.004372188767139878
800,885.2438351085735,584.1975192861785,0.5,14.917517427977513,0.005473245398224106
900,1004.7747499470197,578.2702321523602,0.5,5.28391193659514,0.006407516344181672
100,101.79319617083415,88.41982760222085,0.5,1.2415642594896672,0.0001414526746270693
200,180.92776567950722,158.48552336990502,0.5,1.7007131141446459,0.00020349048278717167
300,335.3894889495392,258.7037422154526,0.5,3.5173298093852123,0.0009394584929592159
400,408.4656449882964,294.31325226433034,0.5,2.169499559521294,0.0014032521812936485
500,526.1319282709757,317.62251234891306,0.5,3.9908258050179124,0.002399058758623451
600,601.0457712676916,408.72247713348463,0.5,14.686324013700437,0.0028925383534129036
700,686.0230653088108,450.51776807894277,0.5,1.0,1.0
800,783.682715896278,465.6367443725373,0.5,4.233709802272007,0.004501221155323857
900,889.0578721130523,531.1986255870983,0.5,4.09439505924128,0.005985848756301592
100,103.36050383316234,93.31003376845217,0.5,1.4648136607800792,0.00014224275192361487
200,217.74506971297433,171.22222475403225,0.5,1.9594046058239645,0.000311952343232866
300,305.02676804837444,241.50749449356357,0.5,2.3719609003363193,0.0007697644034012445
400,383.2302141417759,262.2956848026794,0.5,5.336231368484329,0.001208531190244929
500,532.4474519623419,364.30659817132016,0.5,3.4836868222426074,0.0024200631677484805
600,588.4706815586707,385.5775851881794,0.5,3.3633351863153997,0.002891869406968646
700,674.246860227973,428.4198445728597,0.5,12.599251015601027,0.003603405144554753
800,794.5432916542798,451.5627772629978,0.5,15.535036484990542,0.00490705500603742
900,883.0352395439356,498.4175985320387,0.5,1.0,1.0
100,102.87297892228261,94.21929993826521,0.5,1.4092961043392447,0.00014068227552466278
200,181.15951115552969,153.16310607525617,0.5,2.0782069572450528,0.00020056193982220165
300,287.60149023433485,210.71311316484233,0.5,2.2679733957340145,0.0006771853120518599
400,420.99022544901163,298.57489604876804,0.5,3.608002628946422,0.0015124678180123395
500,504.89163444021335,321.1284707319123,0.5,2.9811541483865054,0.002229578611777491
600,538.6049942626581,353.495039040263,0.5,3.7950640731588026,0.002422363485572602
700,760.7602524986283,456.80757166872706,0.5,4.716018323254087,0.004473014709481182
800,810.607877173612,496.43149225132447,0.5,4.0634866606619156,0.0046818809580955415
900,871.6960588046963,490.58700129077056,0.5,6.81311672826724,0.005205338926287476
100,118.51789484250239,99.79014631658502,0.5,1.4259878015560772,0.0001462305520112938
200,205.9776150519511,163.62019028512296,0.5,2.085412178858883,0.0002649308919137258
300,333.88663436834076,243.41434524765654,0.5,2.706739391660166,0.0009437432527016704
400,395.1833506962524,301.5022614665661,0.5,3.4786818928733925,0.0012516774879515044
500,490.32803334698326,326.23842283649816,0.5,8.935775072597416,0.0020368466623372013
600,715.4969576307136,460.8635062097202,0.5,4.170356407349379,0.004037286399346208
700,660.7208738226476,384.0010423181154,0.5,4.418361303261803,0.0036176246576897033
800,765.1314132204484,473.91100490804297,0.5,46.98599878210383,0.0045174092642052055
900,916.6653092504188,545.8437099823977,0.5,5.5263623910363355,0.005745622166000374
100,102.50986058855048,80.24724641609367,0.5,1.2803276548228535,0.0001423462172948821
200,203.94357532088225,161.74452856285652,0.5,2.5616435404568048,0.00029234138314003353
300,329.97235618323754,231.74457355284972,0.5,2.699336466769864,0.0009483764269886656
400,427.307841512005,277.79388576668066,0.5,1.0,1.0
500,546.6909229155403,348.47334071501496,0.5,8.167078541783777,0.00259729658026153
600,610.3568831601674,399.60006497892823,0.5,2.421430884090372,0.0029524870407863016
700,746.7452422649981,458.0292094852563,0.5,3.9448142560764268,0.004159616669091937
800,815.8250455625034,549.8309864242153,0.5,4.909676772124712,0.004513769379747196
900,887.2432971701642,567.6137706467202,0.5,5.782351093327471,0.005265278443807849
